Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),Irradiance(W/m2),Power(W),Sunlight Level
00:00:00,3.9030,2.9991,0.0065,0.0017,1.43,1.37,727.0,11.71,7.27
00:00:02,3.9010,3.0017,0.0130,0.0033,2.85,2.74,736.0,11.71,7.36
00:00:04,3.9030,3.0007,0.0195,0.0050,4.28,4.11,735.0,11.71,7.35
00:00:06,3.9130,2.9997,0.0260,0.0067,5.71,5.48,735.0,11.74,7.35
00:00:08,3.9070,2.9919,0.0325,0.0083,7.14,6.85,732.0,11.69,7.32
00:00:10,3.9240,3.0127,0.0391,0.0100,8.58,8.22,745.0,11.82,7.45
00:00:12,3.9320,3.0147,0.0457,0.0117,10.03,9.60,738.0,11.85,7.38
00:00:14,3.9260,3.0140,0.0523,0.0134,11.47,10.98,737.0,11.83,7.37
00:00:16,3.9240,3.0129,0.0588,0.0150,12.91,12.35,736.0,11.82,7.36
00:00:18,3.9220,3.0115,0.0654,0.0167,14.35,13.73,742.0,11.81,7.42
00:00:20,3.9230,3.0125,0.0720,0.0184,15.79,15.11,737.0,11.82,7.37
00:00:22,3.9300,3.0068,0.0785,0.0200,17.23,16.48,734.0,11.82,7.34
00:00:24,4.5540,3.0254,0.0862,0.0217,18.91,17.86,742.0,13.78,7.42
00:00:26,4.5460,3.0253,0.0938,0.0234,20.59,19.24,747.0,13.75,7.47
00:00:28,4.5450,3.0251,0.1015,0.0251,22.26,20.62,760.0,13.75,7.6
00:00:30,4.5460,3.0247,0.1091,0.0268,23.94,22.01,744.0,13.75,7.44
00:00:32,4.5460,3.0258,0.1167,0.0284,25.62,23.39,759.0,13.76,7.59
00:00:34,4.5480,3.0247,0.1244,0.0301,27.30,24.77,746.0,13.76,7.46
00:00:36,4.5460,3.0256,0.1320,0.0318,28.97,26.15,745.0,13.75,7.45
00:00:38,4.5470,3.0241,0.1397,0.0335,30.65,27.53,737.0,13.75,7.37
00:00:40,4.5460,3.0250,0.1473,0.0352,32.33,28.91,735.0,13.75,7.35
0day00:00:42,4.5450,3.0249,0.1549,0.0368,34.00,30.30,0.0,13.75
0day00:00:44,4.5440,3.0249,0.1626,0.0385,35.68,31.68,0.0,13.75
0day00:00:46,4.5450,3.0251,0.1702,0.0402,37.35,33.06,0.0,13.75
0day00:00:48,3.9210,3.0150,0.1768,0.0419,38.80,34.44,0.0,11.82
0day00:00:50,3.9190,3.0072,0.1833,0.0436,40.23,35.81,0.0,11.79
0day00:00:52,3.9130,3.0070,0.1899,0.0452,41.67,37.18,0.0,11.77
0day00:00:54,2.5560,0.8832,0.1911,0.0457,41.94,37.59,0.0,2.26
0day00:00:56,2.5460,0.8205,0.1923,0.0462,42.20,37.96,0.0,2.09
0day00:00:58,2.5450,0.8307,0.1934,0.0466,42.46,38.34,0.0,2.11
0day00:01:00,2.5570,0.8660,0.1947,0.0471,42.73,38.74,0.0,2.21
0day00:01:02,2.5530,0.8561,0.1959,0.0476,42.99,39.13,0.0,2.19
0day00:01:04,2.5490,0.8370,0.1971,0.0481,43.25,39.51,0.0,2.13
0day00:01:06,2.5470,0.8373,0.1983,0.0485,43.51,39.89,0.0,2.13
0day00:01:08,2.5510,0.8098,0.1994,0.0490,43.76,40.26,0.0,2.07
0day00:01:10,2.5370,0.7972,0.2005,0.0494,44.01,40.63,0.0,2.02
0day00:01:12,2.5340,0.7815,0.2016,0.0498,44.25,40.98,0.0,1.98
0day00:01:14,2.5350,0.7882,0.2027,0.0503,44.50,41.34,0.0,2.0
0day00:01:16,2.5330,0.7854,0.2038,0.0507,44.74,41.70,0.0,1.99
0day00:01:18,2.5720,0.9362,0.2052,0.0512,45.03,42.13,0.0,2.41
0day00:01:20,2.5720,0.9640,0.2066,0.0518,45.33,42.57,0.0,2.48
0day00:01:22,4.0080,3.0160,0.2133,0.0535,46.81,43.95,0.0,12.09
0day00:01:24,3.9660,3.0156,0.2199,0.0551,48.27,45.32,0.0,11.96
0day00:01:26,3.9700,3.0164,0.2266,0.0568,49.73,46.70,0.0,11.98
0day00:01:28,3.9720,3.0164,0.2332,0.0585,51.19,48.08,0.0,11.98
0day00:01:30,3.9820,3.0179,0.2399,0.0602,52.65,49.46,0.0,12.02
0day00:01:32,3.0110,2.2381,0.2437,0.0614,53.47,50.48,0.0,6.74
0day00:01:34,3.3770,2.5921,0.2485,0.0628,54.54,51.66,0.0,8.75
0day00:01:36,3.3680,2.6176,0.2534,0.0643,55.62,52.86,0.0,8.82
0day00:01:38,3.3610,2.6050,0.2583,0.0657,56.68,54.05,0.0,8.76
0day00:01:40,3.3610,2.6095,0.2632,0.0672,57.75,55.24,0.0,8.77
0day00:01:42,3.2110,2.5352,0.2677,0.0686,58.75,56.40,0.0,8.14
0day00:01:44,3.0050,2.4219,0.2717,0.0699,59.63,57.51,0.0,7.28
0day00:01:46,3.0160,2.4328,0.2758,0.0713,60.53,58.62,0.0,7.34
0day00:01:48,2.9890,2.4131,0.2798,0.0726,61.41,59.72,0.0,7.21
0day00:01:50,2.9830,2.4100,0.2838,0.0740,62.28,60.82,0.0,7.19
0day00:01:52,2.9850,2.4056,0.2878,0.0753,63.16,61.92,0.0,7.18
0day00:01:54,2.9800,2.4031,0.2918,0.0766,64.03,63.02,0.0,7.16
0day00:01:56,3.1020,2.4903,0.2961,0.0780,64.97,64.15,0.0,7.72
0day00:01:58,3.1910,2.4376,0.3004,0.0794,65.92,65.27,0.0,7.78
0day00:02:00,2.5210,0.7497,0.3014,0.0798,66.15,65.61,0.0,1.89
0day00:02:02,2.5220,0.7454,0.3025,0.0802,66.38,65.95,0.0,1.88
0day00:02:04,2.5230,0.7476,0.3035,0.0806,66.61,66.29,0.0,1.89
0day00:02:06,2.5240,0.7462,0.3046,0.0810,66.84,66.63,0.0,1.88
0day00:02:08,2.5240,0.7421,0.3056,0.0815,67.07,66.97,0.0,1.87
0day00:02:10,2.5230,0.7439,0.3066,0.0819,67.30,67.31,0.0,1.88
0day00:02:12,2.5240,0.7489,0.3077,0.0823,67.53,67.65,0.0,1.89
0day00:02:14,2.5240,0.7510,0.3087,0.0827,67.76,68.00,0.0,1.9
0day00:02:16,2.5240,0.7546,0.3098,0.0831,67.99,68.34,0.0,1.9
0day00:02:18,2.5240,0.7499,0.3109,0.0835,68.22,68.68,0.0,1.89
0day00:02:20,2.6310,1.2076,0.3126,0.0842,68.61,69.23,0.0,3.18
0day00:02:22,2.6500,1.3842,0.3147,0.0850,69.06,69.87,0.0,3.67
0day00:02:24,2.6270,1.2213,0.3164,0.0857,69.45,70.42,0.0,3.21
0day00:02:26,2.6340,1.2464,0.3183,0.0864,69.85,70.99,0.0,3.28
0day00:02:28,2.6370,1.2622,0.3201,0.0871,70.25,71.57,0.0,3.33
0day00:02:30,2.6440,1.3151,0.3220,0.0878,70.68,72.17,0.0,3.48
0day00:02:32,2.6460,1.3405,0.3240,0.0885,71.11,72.78,0.0,3.55
0day00:02:34,2.4940,0.6569,0.3249,0.0889,71.31,73.08,0.0,1.64
0day00:02:36,2.4960,0.6705,0.3259,0.0893,71.52,73.39,0.0,1.67
0day00:02:38,2.4960,0.6573,0.3268,0.0896,71.72,73.69,0.0,1.64
0day00:02:40,2.4960,0.6528,0.3277,0.0900,71.91,73.99,0.0,1.63
0day00:02:42,2.4960,0.6661,0.3286,0.0904,72.12,74.29,0.0,1.66
0day00:02:44,2.4960,0.6616,0.3295,0.0907,72.32,74.59,0.0,1.65
0day00:02:46,2.4960,0.6594,0.3304,0.0911,72.52,74.90,0.0,1.65
0day00:02:48,2.5030,0.6930,0.3314,0.0915,72.73,75.21,0.0,1.73
0day00:02:50,3.9880,2.9765,0.3380,0.0931,74.18,76.57,0.0,11.87
0day00:02:52,4.0430,3.0218,0.3448,0.0948,75.67,77.95,0.0,12.22
0day00:02:54,4.0280,3.0216,0.3515,0.0965,77.15,79.33,0.0,12.17
0day00:02:56,4.0240,3.0214,0.3583,0.0982,78.63,80.71,0.0,12.16
0day00:02:58,4.5570,3.0257,0.3660,0.0999,80.31,82.09,0.0,13.79
0day00:03:00,4.5450,3.0253,0.3736,0.1015,81.99,83.48,0.0,13.75
0day00:03:02,4.5470,3.0250,0.3812,0.1032,83.67,84.86,0.0,13.75
0day00:03:04,4.5480,3.0249,0.3889,0.1049,85.35,86.24,0.0,13.76
0day00:03:06,4.5470,3.0254,0.3965,0.1066,87.02,87.62,0.0,13.76
0day00:03:08,3.9850,3.0170,0.4032,0.1083,88.49,89.00,0.0,12.02
0day00:03:10,3.9000,3.0032,0.4097,0.1099,89.92,90.37,0.0,11.71
0day00:03:12,3.9300,3.0147,0.4163,0.1116,91.36,91.75,0.0,11.85
0day00:03:14,3.9350,3.0138,0.4229,0.1133,92.81,93.12,0.0,11.86
0day00:03:16,3.9210,3.0126,0.4294,0.1149,94.25,94.50,0.0,11.81
0day00:03:18,3.9270,3.0140,0.4360,0.1166,95.69,95.88,0.0,11.84
0day00:03:20,3.9250,3.0124,0.4426,0.1183,97.13,97.25,0.0,11.82
0day00:03:22,3.9160,3.0098,0.4491,0.1200,98.57,98.63,0.0,11.79
0day00:03:24,3.9060,3.0048,0.4557,0.1216,100.00,100.00,0.0,11.74
0day00:03:26,3.9050,3.0020,0.4622,0.1233,101.43,101.37,0.0,11.72
